대학명,전형명,학과,인원,경쟁률,충원순위,50% 컷,70% 컷
고려대학교,학교추천전형,컴퓨터공학과,21,10.86,62,1.27,1.32
고려대학교,계열적합전형,컴퓨터공학과,20,15.5,54,3.19,3.36
고려대학교,고른기회전형,컴퓨터공학과,7,10.57,8,1.35,1.35
고려대학교,학업우수전형,컴퓨터공학과,31,11.94,33,1.67,1.73
서울대학교,기회균형특별전형(사회통합),사회복지학과,1,11,0,,
서울대학교,기회균형특별전형(사회통합),체육교육과,2,14.5,0,,
서울대학교,기회균형특별전형(사회통합),컴퓨터공학부,3,11.33,0,,
서울대학교,일반전형,사회복지학과,7,14.57,0,1.53,2.01
서울대학교,일반전형,체육교육과,4,33.25,0,1.04,1.04
서울대학교,일반전형,컴퓨터공학부,28,7.39,1,1.39,1.39
서울대학교,지역균형전형,사회복지학과,6,3,0,1.32,1.39
서울대학교,지역균형전형,체육교육과,2,6,0,,
서울대학교,지역균형전형,컴퓨터공학부,6,6.83,0,1.07,1.1
연세대학교,학생부교과전형(추천형),사회복지학과,5,4.2,0,1.71,2.33
연세대학교,학생부교과전형(추천형),컴퓨터과학과,11,4.45,24,1.28,1.31
연세대학교,학생부종합전형(기회균형Ⅰ),사회복지학과,2,6.5,1,,
연세대학교,학생부종합전형(기회균형Ⅰ),컴퓨터과학과,4,9.75,8,,
연세대학교,학생부종합전형(기회균형Ⅱ),컴퓨터과학과,2,9.5,1,,
연세대학교,학생부종합전형(활동우수형),사회복지학과,5,11.4,2,,
연세대학교,학생부종합전형(활동우수형),컴퓨터과학과,11,13.91,6,1.33,1.36
