majorSeq,major_name,공통과목,일반선택과목,진로선택과목,전문교과Ⅰ,전문교과Ⅱ,,,,,,,,,,,,,,,,,,,
7,아동가족학과,"사회, 생활ㆍ교양","사회교과 : 사회ㆍ문화, 생활과 윤리<br>기술ㆍ가정교과 : 기술ㆍ가정<br>생활ㆍ교양교과 : 철학, 심리학, 교육학,","사회문제탐구, 가정과학","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","인간 발달, 아동 복지, 영유아 건강, 안전, 영양 지도, 복지 서비스의 기초",,,,,,,,,,,,,,,,,,,
8,가족복지과,"사회, 생활ㆍ교양","사회교과 : 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학, 교육학",사회문제 탐구,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","사무 행정, 인간 발달, 아동 복지, 복지 서비스의 기초, 대인 복지 서비스",,,,,,,,,,,,,,,,,,,
9,간호과,"영어, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ,","고급 화학 및 고급 생명과학, 화학 실험 및 생명과학 실험, 과학과제 연구","공중 보건, 인체 구조와 기능, 보건 간호",,,,,,,,,,,,,,,,,,,
10,간호학과,"영어, 과학, 윤리","영어교과 : 영어Ⅰ, 영어Ⅱ, 영어 독해와 작문<br>과학교과 : 생명과학Ⅰ, 화학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학","생명과학Ⅱ, 화학Ⅱ","고급 화학 및 고급 생명과학, 화학실험 및 생명과학 실험, 과학과제 연구","공중 보건, 인체 구조와 기능, 보건 간호",,,,,,,,,,,,,,,,,,,
11,건강관리학과,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구","스포츠개론, 체육지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용","인체 구조와 기능, 간호의 기초",,,,,,,,,,,,,,,,,,,
12,건강관리과,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용","인체 구조와 기능, 간호의 기초",,,,,,,,,,,,,,,,,,,
13,도시건설과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 세계사, 경제, 사회문화, 생활과 윤리<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ","실용수학, 기하, 경제수학, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 사회과제 연구","공간 정보 구축, 공간 정보 융합 서비스, 빅테이터 분석, 인간과 환경, 환경보전",,,,,,,,,,,,,,,,,,,
16,건설정보과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 경제, 사회문화, 생활과 윤리 <br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 물리학Ⅱ, 화학Ⅱ, 생활과 과학, 융합과학, 공학 일반, 사회문제 탐구","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 사회과제 연구","정보처리와 관리, 프로그래밍, 자료구조, 네트워크 프로그래밍, 정보보호 관리",,,,,,,,,,,,,,,,,,,
17,건축공학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 생태와 환경, 과학과제 연구, 지역 이해, 세계 문제와 미래 사회, 사회과제 연구","공업 일반, 건축 일반, 건축 도면 해석과 제도, 프로그래밍",,,,,,,,,,,,,,,,,,,
18,건축과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 생태와 환경, 과학과제 연구, 지역 이해, 세계 문제와 미래 사회, 사회과제 연구","건축 일반, 건축 도면 해석과 제도, 프로그래밍",,,,,,,,,,,,,,,,,,,
